gain:,1000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.009813155495982783
time constant:,0.2
reference phase:,169.111
notes:,position 5
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
0.0,3.4e-06,0.0,7.548e-09,0,0
1.28e-05,1.06e-05,2.8416e-08,2.3532000000000002e-08,1,0
2e-06,-5.8e-06,4.4399999999999996e-09,-1.2876000000000002e-08,2,0
4.6e-06,7.8e-06,1.0212e-08,1.7316e-08,3,0
8.8e-06,5.2e-06,1.9536000000000004e-08,1.1544000000000002e-08,4,0
5.2e-05,-6e-06,1.1544000000000001e-07,-1.3320000000000001e-08,5,0
9.66e-05,2.3e-05,2.1445200000000005e-07,5.106e-08,6,0
-8.4e-05,3.8e-06,-1.8648e-07,8.436e-09,7,0
-7.36e-05,9.2e-06,-1.63392e-07,2.0424e-08,8,0
-4.12e-05,7.6e-06,-9.1464e-08,1.6872e-08,9,0
3.16e-05,-2.44e-05,7.015200000000002e-08,-5.4168000000000006e-08,10,0
-1.54e-05,-8.4e-06,-3.418800000000001e-08,-1.8648e-08,11,0
5.4e-06,2.6e-06,1.1988000000000001e-08,5.772000000000001e-09,12,0
8.4e-06,3.4e-06,1.8648e-08,7.548e-09,13,0
2.5e-05,2.38e-05,5.550000000000001e-08,5.2836e-08,14,0
-2.2e-06,1.02e-05,-4.884000000000001e-09,2.2644e-08,0,1
1.04e-05,1.08e-05,2.3088000000000005e-08,2.3976000000000002e-08,1,1
2e-06,1.56e-05,4.4399999999999996e-09,3.4632e-08,2,1
-1.4e-06,4e-06,-3.108e-09,8.879999999999999e-09,3,1
-2e-07,4e-07,-4.44e-10,8.88e-10,4,1
6.2e-06,9.2e-06,1.3764e-08,2.0424e-08,5,1
-2.1e-05,1.4e-06,-4.662e-08,3.108e-09,6,1
-6.18e-05,1.5e-05,-1.37196e-07,3.33e-08,7,1
-9e-05,1.8e-06,-1.9980000000000003e-07,3.996000000000001e-09,8,1
-2.4e-05,2.6e-06,-5.3280000000000005e-08,5.772000000000001e-09,9,1
-3.04e-05,-3.66e-05,-6.7488e-08,-8.125200000000002e-08,10,1
6e-06,0.0,1.3320000000000001e-08,0.0,11,1
5.8e-06,1.8e-05,1.2876000000000002e-08,3.996e-08,12,1
3.8e-06,1.62e-05,8.436e-09,3.5964000000000004e-08,13,1
4.2e-06,3.6e-06,9.324e-09,7.992000000000001e-09,14,1
1.18e-05,8e-06,2.6196000000000005e-08,1.7759999999999998e-08,0,2
4e-07,1.38e-05,8.88e-10,3.0636000000000004e-08,1,2
-2.8e-06,-7.6e-06,-6.216e-09,-1.6872e-08,2,2
-5.6e-06,5e-06,-1.2432e-08,1.1100000000000002e-08,3,2
3e-06,1.66e-05,6.6600000000000006e-09,3.6852000000000005e-08,4,2
2.2e-06,-7e-05,4.884000000000001e-09,-1.554e-07,5,2
-9.6e-06,1.28e-05,-2.1312000000000003e-08,2.8416e-08,6,2
-7.02e-05,2.6e-06,-1.55844e-07,5.772000000000001e-09,7,2
-0.0001032,9.6e-06,-2.29104e-07,2.1312000000000003e-08,8,2
-4.38e-05,-3.2e-06,-9.723600000000001e-08,-7.104e-09,9,2
-4.2e-06,1.06e-05,-9.324e-09,2.3532000000000002e-08,10,2
-1.92e-05,-5e-06,-4.2624000000000005e-08,-1.1100000000000002e-08,11,2
1.26e-05,-2.8e-06,2.7972000000000004e-08,-6.216e-09,12,2
1.52e-05,8e-07,3.3744e-08,1.776e-09,13,2
3.94e-05,5.6e-06,8.746800000000001e-08,1.2432e-08,14,2
3.8e-06,1.62e-05,8.436e-09,3.5964000000000004e-08,0,3
1e-06,9e-06,2.2199999999999998e-09,1.998e-08,1,3
1.2e-06,1.7e-05,2.6640000000000003e-09,3.774e-08,2,3
7.1e-05,7.24e-05,1.5762000000000003e-07,1.60728e-07,3,3
5e-06,-1.2e-06,1.1100000000000002e-08,-2.6640000000000003e-09,4,3
1e-06,-1e-06,2.2199999999999998e-09,-2.2199999999999998e-09,5,3
1.32e-05,1.8e-06,2.9304000000000002e-08,3.996000000000001e-09,6,3
-7.52e-05,2.8e-06,-1.6694400000000002e-07,6.216e-09,7,3
-9.36e-05,-2.6e-06,-2.07792e-07,-5.772000000000001e-09,8,3
-5.2e-05,1.16e-05,-1.1544000000000001e-07,2.5752000000000005e-08,9,3
1.94e-05,2.8e-06,4.3068000000000006e-08,6.216e-09,10,3
-5.2e-06,9e-06,-1.1544000000000002e-08,1.998e-08,11,3
-4e-06,-1.16e-05,-8.879999999999999e-09,-2.5752000000000005e-08,12,3
1.22e-05,1.28e-05,2.7084000000000003e-08,2.8416e-08,13,3
-6.4e-06,-8.2e-06,-1.4208e-08,-1.8204000000000002e-08,14,3
-1.26e-05,2.88e-05,-2.7972000000000004e-08,6.393600000000001e-08,0,4
1e-05,9.6e-06,2.2200000000000004e-08,2.1312000000000003e-08,1,4
-2.58e-05,-2.2e-06,-5.7276e-08,-4.884000000000001e-09,2,4
-5e-06,0.0,-1.1100000000000002e-08,0.0,3,4
5e-06,4.8e-06,1.1100000000000002e-08,1.0656000000000001e-08,4,4
4.8e-06,4.8e-06,1.0656000000000001e-08,1.0656000000000001e-08,5,4
-8.8e-06,8e-06,-1.9536000000000004e-08,1.7759999999999998e-08,6,4
-6.8e-05,1.04e-05,-1.5096e-07,2.3088000000000005e-08,7,4
