um,uV/mW
-2.52,0.0402441260613
-1.8900000000000001,0.0319095437409
-1.26,0.0319095437409
-0.63,0.0304240603614
0.0,0.0284358561435
0.63,0.0224107657948
1.26,0.0224939226252
1.8900000000000001,0.0139401086611
2.52,0.0122542929173
3.15,0.0136490597546
3.7800000000000002,0.00959327434429
4.41,0.00914725134483
5.04,0.00851223554899
5.67,0.00873902690465
6.3,0.0092795463023
6.93,0.00762774926193
7.5600000000000005,0.00715904712691
8.19,0.00722330467768
8.82,0.00805109312582
9.45,0.00752569315189
10.08,0.0109842613257
10.71,0.00998259950484
11.34,0.0101526930216
11.97,0.0080208542784
12.6,0.0119519044431
13.23,0.00807377226139
13.86,0.00822496649849
14.49,0.0120804195447
15.120000000000001,0.00824764563406
15.75,0.00734426006736
16.38,0.00385545304617
17.01,0.00508390622264
17.64,0.00404822569848
18.27,0.0041200429611
18.9,0.00577184000147
19.53,0.00355306457196
20.16,0.00648623277179
20.79,0.00619896372129
21.42,0.00644843421251
22.05,0.0053106975783
22.68,0.0109351231986
23.31,0.00658072916998
23.94,0.00618006444165
24.57,0.0104248426484
25.2,0.00784698090573
25.830000000000002,0.010602495877
26.46,0.0100166182082
27.09,0.00585499683188
27.72,0.00444133071495
28.35,0.00328091494517
28.98,0.00236240995476
29.61,0.00187102868417
30.240000000000002,0.00071439277032
30.87,0.00360220269902
31.5,0.00455850624871
32.13,0.00571514216256
32.76,0.0114983217318
33.39,0.0128137115946
34.02,0.0138682913984
34.65,0.0130178238147
35.28,0.0140686237626
35.910000000000004,0.0154709503117
36.54,0.0113093289354
37.17,0.0136603993224
37.8,0.0142916352623
38.43,0.0100128383523
39.06,0.0116646353926
39.69,0.00705699101686
40.32,0.00699651332202
40.95,0.00593815366229
41.58,0.0055299292221
42.21,0.00501586881595
42.84,0.00254762289521
43.47,0.00358330341938
44.1,0.00374205736834
44.73,0.00438085302011
45.36,0.00500074939224
45.99,0.00703053202537
46.62,0.00759373055858
47.25,0.00481175659586
47.88,0.0026005408782
48.51,-0.00308058258101
49.14,-0.00598351193342
49.77,-0.000616116516202
50.4,-0.00250226462408
51.03,0.000487601414663
51.660000000000004,0.00297096675911
52.29,0.00475883861287
52.92,0.00553748893396
53.55,0.00840639958302
54.18,-0.00408602425775
54.81,-0.0191903285445
55.44,-0.0303484632428
56.07,-0.0243989700128
56.7,-0.0220630190495
57.33,-0.0200067774249
57.96,-0.0290179539563
58.59,-0.021673693889
59.22,-0.020573755814
59.85,-0.0188652609347
60.480000000000004,-0.0189106192059
61.11,-0.0115210008674
61.74,-0.0138493921188
62.37,-0.0119481245872
63.0,-0.00630479968726
63.63,-0.00968399088655
64.26,-0.00694737519496
64.89,-0.00462276379948
65.52,-0.00599107164527
66.15,-0.00660340830555
66.78,-0.00561308605251
67.41,-0.00362866169051
68.04,-0.00127381144761
68.67,-0.00435439402861
69.3,-0.00248714520037
69.93,-0.00041200429611
70.56,-0.00913213192112
71.19,-0.0084857765575
71.82000000000001,-0.0103152268265
72.45,-0.0114945418759
73.08,-0.01316145834
73.71,-0.011434064181
74.34,-0.014987128753
74.97,-0.0138985302458
75.6,-0.0142273777115
76.23,-0.0197346277981
76.86,-0.0243989700128
77.49,-0.026477890773
78.12,-0.0285983899483
78.75,-0.0308133855219
79.38,-0.0345516630343
80.01,-0.0400324541294
80.64,-0.0510053758873
