mW,uV
12.5178505,15.82
11.97771394,15.74
12.32143565,15.74
12.20394038,15.60
12.13905216,15.61
11.84969208,15.52
12.10748477,15.58
11.52350755,15.52
12.24252062,15.40
11.37795187,15.19
11.33235432,15.07
11.63749584,14.93
11.03773378,14.57
11.05351858,14.71
11.18679864,14.64
10.39939037,14.05
10.95706632,13.68
10.48532275,13.89
10.09775587,13.35
10.7343469,13.38
10.60983427,13.29
10.06268261,13.49
10.42043453,12.94
10.22402309,12.99
10.09775587,13.08
10.01533382,12.82
10.2292847,12.72
10.23805214,12.73
9.85925496,12.58
10.0714512,12.70
9.9662304,12.47
9.55411344,12.27
9.60847512,12.11
8.885955072,12.09
9.113936112,11.69
8.954350272,11.49
8.654467584,11.23
9.443631024,10.82
8.822822016,10.88
8.398429488,11.03
7.800421488,10.40
7.742549472,10.38
8.084519376,10.22
8.147653008,9.81
8.37913824,10.14
8.270410464,10.31
