gain:,1000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.009809248015781922
time constant:,0.2
reference phase:,169.111
notes:,position 6
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
7e-06,3e-06,1.554e-08,6.6600000000000006e-09,0,0
1.2e-05,7.6e-06,2.6640000000000002e-08,1.6872e-08,1,0
2e-07,8.6e-06,4.44e-10,1.9092000000000003e-08,2,0
-9.6e-06,1.6e-05,-2.1312000000000003e-08,3.5519999999999996e-08,3,0
1.2e-06,2.46e-05,2.6640000000000003e-09,5.461200000000001e-08,4,0
5.6e-06,4.6e-06,1.2432e-08,1.0212e-08,5,0
2.8e-06,1.06e-05,6.216e-09,2.3532000000000002e-08,6,0
3.88e-05,-8.9e-05,8.613600000000001e-08,-1.9758000000000003e-07,7,0
-2.02e-05,2.7e-05,-4.484400000000001e-08,5.994e-08,8,0
-1.5e-05,-9.6e-05,-3.33e-08,-2.1312000000000002e-07,9,0
2.4e-06,4.74e-05,5.328000000000001e-09,1.0522800000000002e-07,10,0
-1.8e-06,1.8e-06,-3.996000000000001e-09,3.996000000000001e-09,11,0
-1.5e-05,-2.72e-05,-3.33e-08,-6.0384e-08,12,0
5.2e-06,6.2e-06,1.1544000000000002e-08,1.3764e-08,13,0
1.14e-05,4.24e-05,2.5307999999999997e-08,9.412800000000001e-08,14,0
-1.96e-05,1.6e-05,-4.3512e-08,3.5519999999999996e-08,0,1
6.6e-06,9.4e-06,1.4652000000000001e-08,2.0868000000000002e-08,1,1
5.2e-06,3e-06,1.1544000000000002e-08,6.6600000000000006e-09,2,1
-3.2e-06,2.8e-06,-7.104e-09,6.216e-09,3,1
2.2e-06,-3.6e-06,4.884000000000001e-09,-7.992000000000001e-09,4,1
1.06e-05,-4e-07,2.3532000000000002e-08,-8.88e-10,5,1
3.96e-05,-7.2e-06,8.791200000000001e-08,-1.5984000000000003e-08,6,1
3.32e-05,0.000205,7.370400000000001e-08,4.551e-07,7,1
4.14e-05,-2.6e-06,9.1908e-08,-5.772000000000001e-09,8,1
8.8e-06,5e-06,1.9536000000000004e-08,1.1100000000000002e-08,9,1
1.6e-06,-1.8e-06,3.552e-09,-3.996000000000001e-09,10,1
-1.28e-05,7.54e-05,-2.8416e-08,1.6738800000000004e-07,11,1
-2.2e-05,2.4e-06,-4.884e-08,5.328000000000001e-09,12,1
4.4e-06,6.6e-06,9.768000000000002e-09,1.4652000000000001e-08,13,1
5e-06,5.6e-06,1.1100000000000002e-08,1.2432e-08,14,1
4.2e-06,3.4e-06,9.324e-09,7.548e-09,0,2
-5.4e-06,3.2e-06,-1.1988000000000001e-08,7.104e-09,1,2
-1.36e-05,1.06e-05,-3.0192e-08,2.3532000000000002e-08,2,2
-3.2e-06,5.8e-06,-7.104e-09,1.2876000000000002e-08,3,2
8.4e-06,3.32e-05,1.8648e-08,7.370400000000001e-08,4,2
-2.22e-05,7.68e-05,-4.9284000000000006e-08,1.7049600000000002e-07,5,2
5.38e-05,1.28e-05,1.19436e-07,2.8416e-08,6,2
8.62e-05,5.2e-06,1.91364e-07,1.1544000000000002e-08,7,2
5.52e-05,1.08e-05,1.2254400000000002e-07,2.3976000000000002e-08,8,2
1.72e-05,1.4e-05,3.8184000000000006e-08,3.108e-08,9,2
-4.8e-06,1.04e-05,-1.0656000000000001e-08,2.3088000000000005e-08,10,2
6.6e-06,-6e-07,1.4652000000000001e-08,-1.3320000000000002e-09,11,2
3.2e-06,8.4e-06,7.104e-09,1.8648e-08,12,2
