gain:,1000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.009797036727977044
time constant:,0.2
reference phase:,-11.598
notes:,"position 6, flipped"
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
3.63e-05,1.11e-05,8.0586e-08,2.4642000000000003e-08,0,0
-3.7e-06,1.09e-05,-8.214000000000002e-09,2.4198000000000006e-08,1,0
3.6e-06,-2.395e-05,7.992000000000001e-09,-5.3169000000000004e-08,2,0
1.46e-05,6.45e-06,3.2412000000000006e-08,1.4319e-08,3,0
9.785e-05,-9.15e-06,2.1722700000000004e-07,-2.0313000000000005e-08,4,0
1.035e-05,-2.85e-06,2.2977e-08,-6.326999999999999e-09,5,0
5.5e-06,4.5e-06,1.221e-08,9.99e-09,6,0
7.12e-05,-3.695e-05,1.58064e-07,-8.2029e-08,7,0
2.45e-06,9.75e-06,5.439e-09,2.1645e-08,8,0
1.45e-05,9.75e-06,3.219e-08,2.1645e-08,9,0
1.59e-05,-1.76e-05,3.529800000000001e-08,-3.907200000000001e-08,10,0
2.43e-05,3.65e-06,5.3946000000000005e-08,8.103000000000001e-09,11,0
-7.05e-06,1.41e-05,-1.5651000000000002e-08,3.1302000000000005e-08,12,0
3.625e-05,4.5e-06,8.047500000000001e-08,9.99e-09,13,0
4.365e-05,2.385e-05,9.6903e-08,5.2947000000000004e-08,14,0
2.405e-05,2.65e-06,5.3391000000000005e-08,5.8830000000000005e-09,0,1
2.16e-05,4.5e-07,4.7952000000000005e-08,9.990000000000002e-10,1,1
2.2e-05,1.6e-06,4.884e-08,3.552e-09,2,1
1.705e-05,2.1e-06,3.7851000000000006e-08,4.662e-09,3,1
3.405e-05,1.925e-05,7.559100000000002e-08,4.2735000000000005e-08,4,1
1.83e-05,3.05e-06,4.062600000000001e-08,6.771000000000001e-09,5,1
1.2e-05,7.1e-06,2.6640000000000002e-08,1.5762000000000002e-08,6,1
2.6e-05,-4.6e-06,5.7720000000000003e-08,-1.0212e-08,7,1
2.75e-06,2.15e-06,6.105e-09,4.773000000000001e-09,8,1
2.38e-05,1e-07,5.2836e-08,2.22e-10,9,1
2.67e-05,-2e-06,5.9274000000000005e-08,-4.4399999999999996e-09,10,1
1.495e-05,3.85e-06,3.318900000000001e-08,8.547000000000002e-09,11,1
2.65e-05,1.59e-05,5.8830000000000005e-08,3.529800000000001e-08,12,1
2.375e-05,2.745e-05,5.272500000000001e-08,6.093900000000001e-08,13,1
2.095e-05,-1.15e-06,4.6509e-08,-2.553e-09,14,1
2.645e-05,5.85e-06,5.8719000000000005e-08,1.2987e-08,0,2
2.725e-05,1.16e-05,6.049500000000001e-08,2.5752000000000005e-08,1,2
-3.35e-06,-1.88e-05,-7.437000000000001e-09,-4.1736000000000004e-08,2,2
2.155e-05,5.8e-06,4.7841e-08,1.2876000000000002e-08,3,2
2.255e-05,3.9e-06,5.0061e-08,8.658e-09,4,2
1.535e-05,6.25e-06,3.407700000000001e-08,1.3875000000000002e-08,5,2
1.24e-05,1.53e-05,2.7528e-08,3.3966e-08,6,2
-6.16e-05,3.5e-07,-1.3675200000000003e-07,7.77e-10,7,2
