gain:,1000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.009803874782926828
time constant:,0.2
reference phase:,173.497
notes:,"position 3, flipped"
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
-3.86e-05,0.0,-8.569200000000002e-08,0.0,0,0
-1.52e-05,-9.2e-06,-3.3744e-08,-2.0424e-08,1,0
3.04e-05,2.02e-05,6.7488e-08,4.484400000000001e-08,2,0
2.42e-05,4.8e-06,5.3724000000000005e-08,1.0656000000000001e-08,3,0
3.32e-05,-6.8e-06,7.370400000000001e-08,-1.5096e-08,4,0
1.04e-05,1e-05,2.3088000000000005e-08,2.2200000000000004e-08,5,0
-4.16e-05,8e-06,-9.235200000000002e-08,1.7759999999999998e-08,6,0
-0.0001012,3.2e-06,-2.24664e-07,7.104e-09,7,0
-8.5e-05,1.02e-05,-1.8870000000000004e-07,2.2644e-08,8,0
-1.04e-05,4.2e-06,-2.3088000000000005e-08,9.324e-09,9,0
1.02e-05,1.92e-05,2.2644e-08,4.2624000000000005e-08,10,0
3.54e-05,2.4e-06,7.8588e-08,5.328000000000001e-09,11,0
3.34e-05,5e-06,7.414800000000001e-08,1.1100000000000002e-08,12,0
2.46e-05,6.4e-06,5.461200000000001e-08,1.4208e-08,13,0
2.94e-05,1.38e-05,6.5268e-08,3.0636000000000004e-08,14,0
5.62e-05,1.12e-05,1.24764e-07,2.4864e-08,0,1
2.34e-05,4.2e-06,5.1948e-08,9.324e-09,1,1
2.88e-05,6.2e-06,6.393600000000001e-08,1.3764e-08,2,1
2.92e-05,1.16e-05,6.482400000000001e-08,2.5752000000000005e-08,3,1
2.26e-05,-9.4e-06,5.017200000000001e-08,-2.0868000000000002e-08,4,1
3.8e-06,-1.22e-05,8.436e-09,-2.7084000000000003e-08,5,1
-2.92e-05,1.46e-05,-6.482400000000001e-08,3.2412000000000006e-08,6,1
-7.14e-05,1.1e-05,-1.5850800000000003e-07,2.442e-08,7,1
-5.9e-05,6e-06,-1.3098e-07,1.3320000000000001e-08,8,1
-2.8e-06,-4e-07,-6.216e-09,-8.88e-10,9,1
8.4e-06,2.56e-05,1.8648e-08,5.6832e-08,10,1
-6.2e-06,-4.72e-05,-1.3764e-08,-1.0478400000000002e-07,11,1
3.18e-05,5.2e-06,7.059600000000002e-08,1.1544000000000002e-08,12,1
7.24e-05,7.96e-05,1.60728e-07,1.76712e-07,13,1
3.72e-05,1.2e-05,8.258400000000001e-08,2.6640000000000002e-08,14,1
3.14e-05,1.2e-06,6.9708e-08,2.6640000000000003e-09,0,2
2.56e-05,9.2e-06,5.6832e-08,2.0424e-08,1,2
1.32e-05,-2.44e-05,2.9304000000000002e-08,-5.4168000000000006e-08,2,2
5.14e-05,-3.08e-05,1.1410800000000002e-07,-6.837600000000002e-08,3,2
2.06e-05,9.4e-06,4.5732e-08,2.0868000000000002e-08,4,2
1.7e-05,1.58e-05,3.774e-08,3.507600000000001e-08,5,2
-5.8e-06,8.4e-06,-1.2876000000000002e-08,1.8648e-08,6,2
-7.94e-05,1.04e-05,-1.7626800000000005e-07,2.3088000000000005e-08,7,2
-7.32e-05,1.04e-05,-1.6250400000000004e-07,2.3088000000000005e-08,8,2
2.6e-06,1.06e-05,5.772000000000001e-09,2.3532000000000002e-08,9,2
2.1e-05,3.2e-06,4.662e-08,7.104e-09,10,2
1.6e-05,5.52e-05,3.5519999999999996e-08,1.2254400000000002e-07,11,2
7e-06,3.24e-05,1.554e-08,7.192800000000001e-08,12,2
2.68e-05,5.8e-06,5.9496000000000005e-08,1.2876000000000002e-08,13,2
3.36e-05,4.26e-05,7.4592e-08,9.457200000000001e-08,14,2
2.36e-05,6.2e-06,5.239200000000001e-08,1.3764e-08,0,3
2.82e-05,5.6e-06,6.260400000000001e-08,1.2432e-08,1,3
3.78e-05,2.8e-06,8.3916e-08,6.216e-09,2,3
3.86e-05,-7.2e-06,8.569200000000002e-08,-1.5984000000000003e-08,3,3
2.36e-05,-4.58e-05,5.239200000000001e-08,-1.01676e-07,4,3
2.2e-05,1.3e-05,4.884e-08,2.8860000000000002e-08,5,3
2.6e-06,1.36e-05,5.772000000000001e-09,3.0192e-08,6,3
-4.64e-05,4.8e-06,-1.0300800000000002e-07,1.0656000000000001e-08,7,3
-6.14e-05,5.26e-05,-1.3630800000000003e-07,1.16772e-07,8,3
-1.28e-05,-6.8e-06,-2.8416e-08,-1.5096e-08,9,3
4.36e-05,-1.02e-05,9.679200000000002e-08,-2.2644e-08,10,3
2.22e-05,-1.2e-06,4.9284000000000006e-08,-2.6640000000000003e-09,11,3
4.18e-05,-1.02e-05,9.2796e-08,-2.2644e-08,12,3
3.6e-05,5.8e-06,7.992e-08,1.2876000000000002e-08,13,3
2.88e-05,-5.2e-06,6.393600000000001e-08,-1.1544000000000002e-08,14,3
2.16e-05,1.78e-05,4.7952000000000005e-08,3.9516e-08,0,4
1.8e-06,0.0,3.996000000000001e-09,0.0,1,4
1.92e-05,9.46e-05,4.2624000000000005e-08,2.1001200000000001e-07,2,4
2.38e-05,1.3e-05,5.2836e-08,2.8860000000000002e-08,3,4
3.24e-05,2.2e-06,7.192800000000001e-08,4.884000000000001e-09,4,4
5e-06,6.4e-06,1.1100000000000002e-08,1.4208e-08,5,4
3.6e-06,3.4e-06,7.992000000000001e-09,7.548e-09,6,4
-2.2e-06,5e-06,-4.884000000000001e-09,1.1100000000000002e-08,7,4
-1.72e-05,-1.12e-05,-3.8184000000000006e-08,-2.4864e-08,8,4
2e-06,1.28e-05,4.4399999999999996e-09,2.8416e-08,9,4
5.5e-05,7.84e-05,1.2210000000000001e-07,1.74048e-07,10,4
3.08e-05,-6e-06,6.837600000000002e-08,-1.3320000000000001e-08,11,4
2.7e-05,-1.04e-05,5.994e-08,-2.3088000000000005e-08,12,4
1.52e-05,3.8e-06,3.3744e-08,8.436e-09,13,4
2.88e-05,1.3e-05,6.393600000000001e-08,2.8860000000000002e-08,14,4
1.98e-05,1.56e-05,4.3956000000000007e-08,3.4632e-08,0,5
1.72e-05,-4.4e-06,3.8184000000000006e-08,-9.768000000000002e-09,1,5
1.46e-05,6.8e-06,3.2412000000000006e-08,1.5096e-08,2,5
1.8e-05,1.78e-05,3.996e-08,3.9516e-08,3,5
