gain:,10000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.00980582946370158
time constant:,0.2
reference phase:,168.744
notes:,"position 8, flipped"
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
-0.000353,-0.000177,-7.836600000000001e-08,-3.9294e-08,0,0
-0.0005793,-0.0001143,-1.286046e-07,-2.5374600000000002e-08,1,0
-0.0004579,-0.0002223,-1.0165380000000002e-07,-4.935060000000001e-08,2,0
-0.0006619,-0.0002084,-1.469418e-07,-4.62648e-08,3,0
-0.0002794,0.0002695,-6.20268e-08,5.9829e-08,4,0
-0.0004737,-0.0002286,-1.0516140000000002e-07,-5.0749200000000004e-08,5,0
-0.0005318,-0.0003366,-1.1805960000000002e-07,-7.47252e-08,6,0
-0.0005708,-0.0002618,-1.2671760000000001e-07,-5.8119600000000005e-08,7,0
-2.29e-05,-0.0002261,-5.0838e-09,-5.0194200000000004e-08,8,0
-0.000281,-0.0001686,-6.238200000000001e-08,-3.74292e-08,9,0
-0.0002934,-0.0003118,-6.513480000000001e-08,-6.921960000000001e-08,10,0
-0.0003261,-6.56e-05,-7.23942e-08,-1.45632e-08,11,0
-0.0006306,-0.0002382,-1.399932e-07,-5.28804e-08,12,0
-0.000434,-0.0001588,-9.634800000000001e-08,-3.525360000000001e-08,13,0
-0.0005189,-0.0001978,-1.151958e-07,-4.391160000000001e-08,14,0
-0.0005085,-0.0001767,-1.12887e-07,-3.9227400000000006e-08,0,1
-0.0004522,-0.0001812,-1.0038840000000001e-07,-4.022640000000001e-08,1,1
-0.00037,-0.0001548,-8.214e-08,-3.43656e-08,2,1
-0.0005253,-0.0002083,-1.1661660000000002e-07,-4.6242600000000004e-08,3,1
-0.0004241,-0.000213,-9.41502e-08,-4.7286000000000004e-08,4,1
-0.0002917,-0.0001303,-6.475740000000001e-08,-2.89266e-08,5,1
-0.0003232,-9.92e-05,-7.175040000000001e-08,-2.2022400000000002e-08,6,1
-0.0002609,2.4e-06,-5.791980000000001e-08,5.328000000000001e-10,7,1
-0.0006103,-0.0004106,-1.354866e-07,-9.11532e-08,8,1
-0.0002352,-0.0001626,-5.22144e-08,-3.6097200000000006e-08,9,1
-0.0005178,-3.11e-05,-1.1495160000000001e-07,-6.904199999999999e-09,10,1
-0.0003584,-0.0002386,-7.95648e-08,-5.29692e-08,11,1
-0.0003842,-0.000241,-8.529240000000002e-08,-5.350200000000001e-08,12,1
-0.0004351,-0.0001489,-9.659220000000002e-08,-3.30558e-08,13,1
-0.0003297,-0.0001612,-7.319340000000001e-08,-3.57864e-08,14,1
-0.0005199,-0.0001365,-1.1541780000000001e-07,-3.0303000000000003e-08,0,2
-0.0006825,-0.0003433,-1.5151500000000002e-07,-7.62126e-08,1,2
-0.0004798,-0.0001609,-1.065156e-07,-3.57198e-08,2,2
