gain:,1000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.009795082977761837
time constant:,0.2
reference phase:,-11.598
notes:,"position 9, flipped"
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
-5.25e-06,9.6e-06,-1.1655e-08,2.1312000000000003e-08,0,0
-5.355e-05,-9.85e-06,-1.1888100000000002e-07,-2.1867000000000003e-08,1,0
-5.785e-05,1.2e-06,-1.28427e-07,2.6640000000000003e-09,2,0
-3.74e-05,5.5e-06,-8.302800000000001e-08,1.221e-08,3,0
-3.53e-05,7.5e-07,-7.8366e-08,1.6650000000000001e-09,4,0
-3.02e-05,1.75e-06,-6.7044e-08,3.885e-09,5,0
5.4e-06,-1.6e-05,1.1988000000000001e-08,-3.5519999999999996e-08,6,0
-1.7e-06,5.3e-06,-3.774e-09,1.1766000000000001e-08,7,0
-3.38e-05,-7.3e-06,-7.503600000000001e-08,-1.6206000000000003e-08,8,0
-5.01e-05,-6.55e-06,-1.11222e-07,-1.4541000000000003e-08,9,0
-2.62e-05,-3.2e-06,-5.816400000000001e-08,-7.104e-09,10,0
-4.445e-05,-1.45e-06,-9.867900000000002e-08,-3.2190000000000006e-09,11,0
-3.865e-05,-4e-06,-8.5803e-08,-8.879999999999999e-09,12,0
-3.46e-05,1.905e-05,-7.681200000000001e-08,4.2291e-08,13,0
-3.27e-05,-1.1e-06,-7.259400000000002e-08,-2.4420000000000005e-09,14,0
-5.42e-05,-3.27e-05,-1.20324e-07,-7.259400000000002e-08,0,1
-5.055e-05,1.4e-06,-1.1222100000000001e-07,3.108e-09,1,1
-4.665e-05,8.5e-07,-1.0356300000000001e-07,1.887e-09,2,1
-4.685e-05,-5e-08,-1.0400700000000001e-07,-1.11e-10,3,1
-4.68e-05,1.9e-06,-1.03896e-07,4.218e-09,4,1
-3.79e-05,-8.8e-06,-8.413800000000001e-08,-1.9536000000000004e-08,5,1
-3.02e-05,-7.3e-06,-6.7044e-08,-1.6206000000000003e-08,6,1
-3.98e-05,3.15e-06,-8.8356e-08,6.993000000000001e-09,7,1
-0.00012095,1.88e-05,-2.68509e-07,4.1736000000000004e-08,8,1
-4.295e-05,8.45e-06,-9.534900000000002e-08,1.8759000000000003e-08,9,1
-4.07e-05,7e-07,-9.0354e-08,1.554e-09,10,1
-3.175e-05,1.77e-05,-7.0485e-08,3.9294e-08,11,1
-5.36e-05,7.3e-06,-1.1899200000000001e-07,1.6206000000000003e-08,12,1
-3.945e-05,5.6e-06,-8.757899999999999e-08,1.2432e-08,13,1
-5.765e-05,-4.15e-06,-1.27983e-07,-9.213000000000001e-09,14,1
-2.75e-05,-4.5e-05,-6.105000000000001e-08,-9.990000000000001e-08,0,2
-4.765e-05,2.35e-06,-1.0578300000000001e-07,5.2170000000000005e-09,1,2
-5.205e-05,-6.6e-06,-1.15551e-07,-1.4652000000000001e-08,2,2
-4.875e-05,-2.53e-05,-1.08225e-07,-5.6166e-08,3,2
-4.65e-05,8.25e-06,-1.0323000000000002e-07,1.8315000000000002e-08,4,2
-2.24e-05,3.49e-05,-4.9728e-08,7.7478e-08,5,2
-8.6e-06,-1.97e-05,-1.9092000000000003e-08,-4.3734000000000006e-08,6,2
-3.08e-05,-5.25e-06,-6.837600000000002e-08,-1.1655e-08,7,2
-4.11e-05,7.25e-06,-9.124200000000002e-08,1.6095e-08,8,2
-5.115e-05,7.5e-07,-1.1355300000000001e-07,1.6650000000000001e-09,9,2
-3.24e-05,2.1e-06,-7.192800000000001e-08,4.662e-09,10,2
-5.55e-05,-3.35e-06,-1.2321e-07,-7.437000000000001e-09,11,2
-5.37e-05,-4.7e-06,-1.19214e-07,-1.0434000000000001e-08,12,2
-4.125e-05,4.1e-06,-9.1575e-08,9.102000000000001e-09,13,2
-4.03e-05,1.07e-05,-8.9466e-08,2.3754e-08,14,2
-5.83e-05,-2.5e-07,-1.29426e-07,-5.549999999999999e-10,0,3
-9.695e-05,-8.415e-05,-2.1522900000000003e-07,-1.86813e-07,1,3
-5.645e-05,-3.85e-06,-1.25319e-07,-8.547000000000002e-09,2,3
-1.43e-05,2.2e-06,-3.1746000000000005e-08,4.884000000000001e-09,3,3
-6.15e-05,3.35e-06,-1.3653000000000002e-07,7.437000000000001e-09,4,3
-4.425e-05,1.13e-05,-9.8235e-08,2.5086000000000004e-08,5,3
-1.565e-05,5.87e-05,-3.4743e-08,1.30314e-07,6,3
-5.64e-05,1.2e-06,-1.2520800000000002e-07,2.6640000000000003e-09,7,3
-5.59e-05,6.45e-06,-1.24098e-07,1.4319e-08,8,3
-3.135e-05,-1.55e-06,-6.959700000000002e-08,-3.441e-09,9,3
-4.925e-05,2.635e-05,-1.09335e-07,5.8497000000000004e-08,10,3
-4.03e-05,5.5e-07,-8.9466e-08,1.2210000000000002e-09,11,3
-4.6e-05,0.0001001,-1.0212e-07,2.22222e-07,12,3
-5.685e-05,1.18e-05,-1.26207e-07,2.6196000000000005e-08,13,3
-5.305e-05,1.65e-06,-1.1777100000000002e-07,3.6630000000000003e-09,14,3
-5.245e-05,-1.95e-06,-1.1643900000000001e-07,-4.329e-09,0,4
-8.19e-05,7.625e-05,-1.8181800000000002e-07,1.69275e-07,1,4
-4.115e-05,-2.73e-05,-9.135300000000001e-08,-6.060600000000001e-08,2,4
-4.985e-05,1.31e-05,-1.1066700000000001e-07,2.9082000000000005e-08,3,4
-4.32e-05,-9e-07,-9.590400000000001e-08,-1.9980000000000003e-09,4,4
-3.73e-05,-1.295e-05,-8.280600000000001e-08,-2.8749e-08,5,4
-4.13e-05,5.75e-06,-9.168600000000002e-08,1.2765e-08,6,4
-3.91e-05,3.3e-06,-8.680200000000001e-08,7.3260000000000006e-09,7,4
-5.095e-05,3.55e-06,-1.1310900000000001e-07,7.881000000000001e-09,8,4
-4.975e-05,-7e-06,-1.1044500000000002e-07,-1.554e-08,9,4
-2.9e-05,-1.35e-05,-6.438e-08,-2.997e-08,10,4
-5.57e-05,-6e-07,-1.23654e-07,-1.3320000000000002e-09,11,4
-5.24e-05,4.65e-06,-1.1632800000000002e-07,1.0323000000000001e-08,12,4
-3.82e-05,1.445e-05,-8.480400000000001e-08,3.2079000000000006e-08,13,4
-0.00011475,-1.465e-05,-2.54745e-07,-3.2523000000000006e-08,14,4
-5.54e-05,-7e-07,-1.2298800000000002e-07,-1.554e-09,0,5
-7.345e-05,3.14e-05,-1.63059e-07,6.9708e-08,1,5
-6.135e-05,3.6e-06,-1.36197e-07,7.992000000000001e-09,2,5
-4.885e-05,-5.55e-06,-1.0844700000000002e-07,-1.2321000000000002e-08,3,5
-5.915e-05,5.2e-06,-1.31313e-07,1.1544000000000002e-08,4,5
