gain:,1000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.00979068660989957
time constant:,0.2
reference phase:,-11.598
notes:,"position 7, flipped"
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
-2.4e-06,3.85e-06,-5.328000000000001e-09,8.547000000000002e-09,0,0
-7.4e-06,-4.8e-06,-1.6428000000000003e-08,-1.0656000000000001e-08,1,0
5.35e-06,2.4e-06,1.1877e-08,5.328000000000001e-09,2,0
7.95e-06,-6.9e-06,1.7649000000000005e-08,-1.5318000000000002e-08,3,0
2.4e-05,3.98e-05,5.3280000000000005e-08,8.8356e-08,4,0
-1.05e-06,7.85e-06,-2.331e-09,1.7427e-08,5,0
-1.065e-05,1.015e-05,-2.3643000000000002e-08,2.2533e-08,6,0
-1.08e-05,4.4e-06,-2.3976000000000002e-08,9.768000000000002e-09,7,0
-1.4e-05,-1.975e-05,-3.108e-08,-4.3845000000000006e-08,8,0
-2.1e-06,-1.3e-06,-4.662e-09,-2.8860000000000006e-09,9,0
4.985e-05,6.35e-06,1.1066700000000001e-07,1.4097000000000002e-08,10,0
1.75e-06,-2.55e-06,3.885e-09,-5.661e-09,11,0
-9.01e-05,6.125e-05,-2.0002200000000002e-07,1.3597500000000002e-07,12,0
1.075e-05,8.35e-06,2.3865000000000002e-08,1.8537000000000002e-08,13,0
8.7e-06,-6.5e-07,1.9314000000000003e-08,-1.4430000000000003e-09,14,0
3.4e-06,7.55e-06,7.548e-09,1.6761e-08,0,1
4.215e-05,-7.25e-06,9.357300000000001e-08,-1.6095e-08,1,1
1.54e-05,1.29e-05,3.418800000000001e-08,2.8638e-08,2,1
8.55e-06,6.05e-06,1.8981e-08,1.3431000000000001e-08,3,1
1.08e-05,1.22e-05,2.3976000000000002e-08,2.7084000000000003e-08,4,1
-8.45e-06,-3.15e-06,-1.8759000000000003e-08,-6.993000000000001e-09,5,1
-7.45e-06,7.75e-06,-1.6539000000000003e-08,1.7205e-08,6,1
-9.45e-06,1.165e-05,-2.0979e-08,2.5863e-08,7,1
-3.6e-06,1.82e-05,-7.992000000000001e-09,4.0404e-08,8,1
-9.5e-06,2.35e-06,-2.1090000000000002e-08,5.2170000000000005e-09,9,1
5.2e-06,-3.54e-05,1.1544000000000002e-08,-7.8588e-08,10,1
6.25e-06,1.7e-06,1.3875000000000002e-08,3.774e-09,11,1
9.3e-06,-2e-07,2.0646000000000002e-08,-4.44e-10,12,1
2.075e-05,1.08e-05,4.6065e-08,2.3976000000000002e-08,13,1
6.9e-06,3.35e-06,1.5318000000000002e-08,7.437000000000001e-09,14,1
2.01e-05,4.35e-06,4.462200000000001e-08,9.657000000000002e-09,0,2
-4e-07,1.01e-05,-8.88e-10,2.2422000000000004e-08,1,2
7.25e-06,4.7e-06,1.6095e-08,1.0434000000000001e-08,2,2
4.9e-06,-4.705e-05,1.0878e-08,-1.0445100000000001e-07,3,2
6.45e-06,6.7e-06,1.4319e-08,1.4874000000000001e-08,4,2
-3.6e-06,-4.695e-05,-7.992000000000001e-09,-1.0422900000000003e-07,5,2
-8.5e-06,7.75e-06,-1.887e-08,1.7205e-08,6,2
-9.2e-06,2.635e-05,-2.0424e-08,5.8497000000000004e-08,7,2
-1.95e-06,6.45e-06,-4.329e-09,1.4319e-08,8,2
-6.7e-06,5.25e-06,-1.4874000000000001e-08,1.1655e-08,9,2
1.67e-05,1.39e-05,3.7074000000000005e-08,3.0858000000000004e-08,10,2
-2.15e-06,1.005e-05,-4.773000000000001e-09,2.2311000000000004e-08,11,2
8.6e-06,-4.7e-06,1.9092000000000003e-08,-1.0434000000000001e-08,12,2
2.6e-06,-6.75e-06,5.772000000000001e-09,-1.4985e-08,13,2
1.25e-06,5.75e-06,2.7750000000000004e-09,1.2765e-08,14,2
-2.475e-05,2.145e-05,-5.4945000000000007e-08,4.7619000000000004e-08,0,3
-2.185e-05,-1.96e-05,-4.8507e-08,-4.3512e-08,1,3
8.25e-06,-5.4e-06,1.8315000000000002e-08,-1.1988000000000001e-08,2,3
-8.85e-06,9.8e-06,-1.9647e-08,2.1756e-08,3,3
-8.3e-06,7.05e-06,-1.8426000000000002e-08,1.5651000000000002e-08,4,3
3.18e-05,5e-08,7.059600000000002e-08,1.11e-10,5,3
-9.55e-06,3.9e-06,-2.1201000000000002e-08,8.658e-09,6,3
-9.6e-06,7.6e-06,-2.1312000000000003e-08,1.6872e-08,7,3
7.5e-06,3e-06,1.665e-08,6.6600000000000006e-09,8,3
-1.05e-06,7.5e-07,-2.331e-09,1.6650000000000001e-09,9,3
9e-07,7.5e-06,1.9980000000000003e-09,1.665e-08,10,3
4.25e-06,-2.8e-06,9.435e-09,-6.216e-09,11,3
9e-07,6.45e-06,1.9980000000000003e-09,1.4319e-08,12,3
7.9e-06,1.5e-06,1.7538000000000005e-08,3.3300000000000003e-09,13,3
6.9e-06,5.05e-06,1.5318000000000002e-08,1.1211000000000002e-08,14,3
5.2e-06,-5.25e-06,1.1544000000000002e-08,-1.1655e-08,0,4
3.1e-06,2.5e-07,6.882e-09,5.549999999999999e-10,1,4
-4.55e-06,5.25e-06,-1.0101e-08,1.1655e-08,2,4
-2.365e-05,1.65e-06,-5.2503000000000004e-08,3.6630000000000003e-09,3,4
1.64e-05,-7.85e-06,3.6408000000000004e-08,-1.7427e-08,4,4
-1.75e-06,1.375e-05,-3.885e-09,3.0525000000000004e-08,5,4
-1.5e-05,9.2e-06,-3.33e-08,2.0424e-08,6,4
-1.025e-05,6.15e-06,-2.2755e-08,1.3653000000000003e-08,7,4
-4.11e-05,3.895e-05,-9.124200000000002e-08,8.6469e-08,8,4
-2e-06,-3.45e-06,-4.4399999999999996e-09,-7.659000000000001e-09,9,4
2.39e-05,-2.635e-05,5.3058000000000004e-08,-5.8497000000000004e-08,10,4
5.05e-06,6.45e-06,1.1211000000000002e-08,1.4319e-08,11,4
-7.745e-05,-4.65e-06,-1.7193900000000002e-07,-1.0323000000000001e-08,12,4
3.5e-06,5.4e-06,7.77e-09,1.1988000000000001e-08,13,4
-5.5e-07,4.25e-06,-1.2210000000000002e-09,9.435e-09,14,4
1.2e-06,-1.5e-07,2.6640000000000003e-09,-3.3300000000000004e-10,0,5
-1.1e-06,9.9e-06,-2.4420000000000005e-09,2.1978000000000003e-08,1,5
-2.525e-05,4.35e-06,-5.6055e-08,9.657000000000002e-09,2,5
-1.045e-05,3.25e-06,-2.3199e-08,7.2150000000000004e-09,3,5
-1.605e-05,6.9e-06,-3.5631e-08,1.5318000000000002e-08,4,5
-5.95e-06,-3.35e-06,-1.3209e-08,-7.437000000000001e-09,5,5
-1.94e-05,6.75e-06,-4.3068000000000006e-08,1.4985e-08,6,5
-1.21e-05,4.65e-06,-2.6862000000000003e-08,1.0323000000000001e-08,7,5
-4.165e-05,2.9e-06,-9.246300000000001e-08,6.438000000000001e-09,8,5
3.7e-06,6.85e-06,8.214000000000002e-09,1.5207000000000002e-08,9,5
1.25e-06,7.8e-06,2.7750000000000004e-09,1.7316e-08,10,5
6.05e-06,-3.2e-06,1.3431000000000001e-08,-7.104e-09,11,5
6.1e-06,7.25e-06,1.3542000000000001e-08,1.6095e-08,12,5
-6.65e-06,-1e-06,-1.4763000000000001e-08,-2.2199999999999998e-09,13,5
7.74e-05,-2.15e-06,1.7182800000000002e-07,-4.773000000000001e-09,14,5
1.05e-06,9.6e-06,2.331e-09,2.1312000000000003e-08,0,6
-1.145e-05,1.55e-06,-2.5419e-08,3.441e-09,1,6
-4e-06,1.25e-06,-8.879999999999999e-09,2.7750000000000004e-09,2,6
