gain:,1000.0
x scan density:,15
y scan density:,15
x range:,160
y range:,160
x center:,80
y center:,80
polarization:,90
raw polarization:,270.0
power (W):,0.009807782242898135
time constant:,0.2
reference phase:,150.369
notes:,"position 11, flipped"
end:,end of header
x_raw,y_raw,x_v,y_v,x_pixel,y_pixel
7e-06,-0.0001298,1.554e-08,-2.88156e-07,0,0
-2e-07,-0.0001228,-4.44e-10,-2.7261600000000006e-07,1,0
8.4e-06,-0.0001166,1.8648e-08,-2.58852e-07,2,0
6e-06,-0.000127,1.3320000000000001e-08,-2.8194e-07,3,0
2.46e-05,-0.0001336,5.461200000000001e-08,-2.9659200000000004e-07,4,0
5.4e-06,-0.0001196,1.1988000000000001e-08,-2.6551200000000006e-07,5,0
9.2e-06,-0.0001264,2.0424e-08,-2.8060800000000007e-07,6,0
6e-06,-0.0001236,1.3320000000000001e-08,-2.74392e-07,7,0
1e-05,-0.0001142,2.2200000000000004e-08,-2.53524e-07,8,0
1.86e-05,-0.00013,4.1292000000000003e-08,-2.8860000000000003e-07,9,0
8.8e-06,-0.0001262,1.9536000000000004e-08,-2.80164e-07,10,0
1.14e-05,-0.0001244,2.5307999999999997e-08,-2.7616799999999996e-07,11,0
2.3e-05,-0.0001186,5.106e-08,-2.63292e-07,12,0
-4.28e-05,-0.0001082,-9.5016e-08,-2.40204e-07,13,0
1.46e-05,-0.0001212,3.2412000000000006e-08,-2.69064e-07,14,0
1.8e-06,-0.0001338,3.996000000000001e-09,-2.97036e-07,0,1
-3.2e-06,-0.0001174,-7.104e-09,-2.60628e-07,1,1
4.18e-05,-0.0001264,9.2796e-08,-2.8060800000000007e-07,2,1
-6.4e-06,-0.0001484,-1.4208e-08,-3.29448e-07,3,1
-8e-06,-0.0001154,-1.7759999999999998e-08,-2.56188e-07,4,1
-1.26e-05,-0.0001224,-2.7972000000000004e-08,-2.71728e-07,5,1
2.1e-05,-0.0001258,4.662e-08,-2.79276e-07,6,1
1.28e-05,-0.000137,2.8416e-08,-3.0414e-07,7,1
1.44e-05,-0.0001254,3.1968000000000005e-08,-2.783880000000001e-07,8,1
1.6e-06,-0.0001212,3.552e-09,-2.69064e-07,9,1
5e-06,-0.0001512,1.1100000000000002e-08,-3.35664e-07,10,1
1.64e-05,-0.0001392,3.6408000000000004e-08,-3.0902400000000005e-07,11,1
5.42e-05,-0.0002564,1.20324e-07,-5.692080000000001e-07,12,1
4.2e-06,-0.0001188,9.324e-09,-2.6373600000000005e-07,13,1
-6.6e-06,-0.0001266,-1.4652000000000001e-08,-2.81052e-07,14,1
2.52e-05,-0.0001078,5.594400000000001e-08,-2.3931600000000005e-07,0,2
-1e-06,-0.0001158,-2.2199999999999998e-09,-2.57076e-07,1,2
1.2e-06,-0.0001322,2.6640000000000003e-09,-2.93484e-07,2,2
-1.7e-05,-0.000102,-3.774e-08,-2.2644e-07,3,2
-3.8e-06,-0.000132,-8.436e-09,-2.9304000000000004e-07,4,2
-1.18e-05,-0.0001286,-2.6196000000000005e-08,-2.8549200000000005e-07,5,2
2.2e-05,-0.0001186,4.884e-08,-2.63292e-07,6,2
1.26e-05,-0.0001056,2.7972000000000004e-08,-2.3443200000000002e-07,7,2
-1.24e-05,-0.000147,-2.7528e-08,-3.2634e-07,8,2
9.4e-06,-0.0001214,2.0868000000000002e-08,-2.6950800000000003e-07,9,2
9e-06,-0.0001346,1.998e-08,-2.98812e-07,10,2
